Year,Jan.,Feb.,Mar.,Apr.,May.,Jun.,Jul.,Aug.,Spt.,Oct.,Nov.,Dec.,Annual
1980,29,12,69,0,156,349,281,316,215,149,0,0,1576
1981,71,49,26,240,290,159,574,340,398,0,3,91,2241
1982,0,10,80,139,43,260,189,217,66,38,60,1,1103
1983,1,2,4,34,121,65,366,505,149,358,0,24,1629
1984,31,1,0,10,94,325,294,321,297,202,0,0,1575
1985,4,7,3,****,190,232,274,146,233,77,3,12,****
1986,3,12,19,93,81,175,262,238,406,190,27,4,1510
1987,0,4,12,76,102,****,488,400,193,43,5,4,****
1988,1,30,36,107,139,404,301,****,89,94,27,0,****
1989,4,8,5,2,224,190,357,117,332,78,0,8,1325
1990,0,34,46,97,301,263,464,238,180,127,17,0,1767
1991,6,0,19,25,157,211,286,96,484,122,0,92,1498
1992,1,33,0,16,121,85,244,185,124,29,5,0,843
1993,0,5,55,70,65,477,247,177,316,157,54,0,1623
1994,18,36,5,31,115,237,171,206,171,130,22,0,1142
1995,17,31,9,8,91,291,287,270,370,13,44,1,1432
1996,0,21,4,73,95,284,106,270,298,118,0,0,1269
1997,8,35,19,56,53,242,763,468,348,4,44,22,2062
1998,16,5,52,33,129,92,404,268,310,198,33,0,1540
1999,0,0,0,9,144,348,349,354,502,155,1,0,1862
2000,4,47,27,136,198,244,115,190,644,85,0,0,1690
2001,0,0,9,13,209,324,338,209,95,184,1,0,1382
2002,10,1,20,96,196,222,316,238,281,48,17,0,1445
2003,3,18,64,45,84,280,230,128,262,292,0,6,1412
2004,10,0,0,61,92,507,339,275,349,153,0,0,1786
2005,14,1,104,27,108,92,492,161,131,275,0,0,1405
2006,0,0,7,36,189,188,130,247,302,36,10,0,1145
2007,0,27,59,13,260,313,364,236,309,76,1,0,1658
2008,26,0,0,30,144,247,373,245,129,121,0,0,1315
2009,1,7,28,0,131,126,183,240,282,45,0,0,1043
2010,0,2,2,37,75,211,94,101,101,127,3,39,792
2011,6,0,10,94,187,341,144,454,203,35,1,0,1475
2012,6,0,6,123,17,137,314,179,178,102,101,1,1164
2013,0,22,12,51,188,178,101,254,238,204,0,0,1248
2014,0,27,12,51,151,188,242,359,153,5,0,0,1188
2015,14,14,39,144,177,285,353,127,254,7,6,1,1421
2016,42,3,25,175,212,109,376,168,170,95,0,0,1375
2017,2,0,45,80,193,141,393,219,132,237,5,20,1467
2018,0,12,9,75,176,139,238,84,119,87,0,17,956
2019,0,46,67,114,147,121,262,114,187,174,3,0,1235
2020,16,1,27,32,187,283,412,142,213,98,0,0,1411
2021,0,0,0,15,140,263,325,542,135,116,1,1,1538
2022,3,39,0,20,222,70,60,263,329,57,0,1,1064
2023,0,0,25,48,103,85,137,179,267,275,3,38,1160
2024,0,23,23,0,153,15,350,291,160,201,14,0,1230
